Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
4,MatMulV2,AI_CORE,550,401855.411,14.48,730.646,2450.291,52.212
4,MatMulV3,AI_CORE,440,175346.937,152.817,398.516,650.827,22.782
4,DSARandomNormal,DSA_SQE,33,66303.075,99.918,2009.184,22183.237,8.615
4,LayerNormV3,AI_VECTOR_CORE,550,64493.332,46.439,117.261,205.296,8.379
4,SoftmaxV2,AI_VECTOR_CORE,550,39451.612,29.899,71.73,116.538,5.126
4,Swish,AI_VECTOR_CORE,550,17451.711,14.1,31.73,49.539,2.267
4,Cast,AI_VECTOR_CORE,1133,4747.525,1.04,4.19,1192.696,0.617
4,Fill,AI_VECTOR_CORE,5,8.52,1.44,1.704,1.94,0.001
4,ZerosLike,AI_VECTOR_CORE,5,8.52,1.42,1.704,2.28,0.001
