kernel,shape,latency_us
add,1x4096,38.120
mul,1x4096,31.340
relu,1x4096,39.360
silu,1x4096,37.100
gelu,1x4096,38.100
layernorm,1x4096,70.720
softmax,1x4096,39.040
add_relu,1x4096,50.080
add_gelu,1x4096,50.060
mul_add_relu,1x4096,55.880
layernorm_gelu,1x4096,83.260
add,1x8192,45.540
mul,1x8192,38.960
relu,1x8192,36.080
silu,1x8192,43.500
gelu,1x8192,41.940
layernorm,1x8192,84.140
softmax,1x8192,50.760
add_relu,1x8192,56.500
add_gelu,1x8192,56.400
mul_add_relu,1x8192,64.880
layernorm_gelu,1x8192,94.640
add,16x4096,39.620
mul,16x4096,38.680
relu,16x4096,42.780
silu,16x4096,38.420
gelu,16x4096,34.340
layernorm,16x4096,70.200
softmax,16x4096,39.400
add_relu,16x4096,42.500
add_gelu,16x4096,45.780
mul_add_relu,16x4096,56.380
layernorm_gelu,16x4096,77.580
add,64x4096,31.520
mul,64x4096,31.900
relu,64x4096,31.800
silu,64x4096,32.200
gelu,64x4096,34.340
layernorm,64x4096,62.920
softmax,64x4096,34.040
add_relu,64x4096,42.480
add_gelu,64x4096,48.000
mul_add_relu,64x4096,62.440
layernorm_gelu,64x4096,78.720
add,256x4096,37.620
mul,256x4096,33.880
relu,256x4096,41.740
silu,256x4096,37.600
gelu,256x4096,40.260
layernorm,256x4096,66.980
softmax,256x4096,40.960
add_relu,256x4096,43.300
add_gelu,256x4096,44.520
mul_add_relu,256x4096,55.820
layernorm_gelu,256x4096,74.560
add,1024x4096,36.980
mul,1024x4096,33.160
relu,1024x4096,33.980
silu,1024x4096,33.680
gelu,1024x4096,37.100
layernorm,1024x4096,90.360
softmax,1024x4096,50.700
add_relu,1024x4096,45.160
add_gelu,1024x4096,46.380
mul_add_relu,1024x4096,53.680
layernorm_gelu,1024x4096,90.760
add,2048x4096,34.500
mul,2048x4096,35.260
relu,2048x4096,34.780
silu,2048x4096,38.540
gelu,2048x4096,51.140
layernorm,2048x4096,95.780
softmax,2048x4096,67.740
add_relu,2048x4096,60.700
add_gelu,2048x4096,78.660
mul_add_relu,2048x4096,82.340
layernorm_gelu,2048x4096,139.960
add,4096x4096,51.740
mul,4096x4096,45.160
relu,4096x4096,41.760
silu,4096x4096,64.340
gelu,4096x4096,78.280
layernorm,4096x4096,183.220
softmax,4096x4096,109.860
add_relu,4096x4096,121.020
add_gelu,4096x4096,181.460
mul_add_relu,4096x4096,125.300
layernorm_gelu,4096x4096,269.020
matmul,256x256x256,44.000
matmul_bias_relu,256x256x256,69.340
matmul_gelu,256x256x256,44.880
matmul,512x512x512,34.260
matmul_bias_relu,512x512x512,65.160
matmul_gelu,512x512x512,42.580
matmul,1024x1024x1024,33.320
matmul_bias_relu,1024x1024x1024,61.340
matmul_gelu,1024x1024x1024,41.720
matmul,1024x4096x4096,156.440
matmul_bias_relu,1024x4096x4096,171.940
matmul_gelu,1024x4096x4096,178.860
matmul,2048x4096x4096,282.620
matmul_bias_relu,2048x4096x4096,303.980
matmul_gelu,2048x4096x4096,324.460
matmul,4096x4096x4096,554.320
matmul_bias_relu,4096x4096x4096,615.140
matmul_gelu,4096x4096x4096,664.120
matmul,1024x4096x14336,605.820
matmul_bias_relu,1024x4096x14336,678.500
matmul_gelu,1024x4096x14336,690.760
