op,shape,measured_us,old_predicted_us,new_predicted_us,old_ratio,new_ratio
MATMUL,1024x1024x1024,15.5,14.5,15.8,0.933,1.019
MATMUL,1024x4096x4096,155.8,134.7,156.7,0.865,1.006
MATMUL,1024x4096x14336,614.3,453.2,530.5,0.738,0.864
MATMUL,1024x14336x4096,599.7,456.1,533.0,0.76,0.889
MATMUL,1024x4096x1024,47.8,39.2,44.6,0.82,0.932
MATMUL,1024x8192x8192,598.7,518.0,606.3,0.865,1.013
MATMUL,1024x8192x28672,2376.3,1791.8,2101.6,0.754,0.884
MATMUL,2048x4096x4096,282.2,258.6,303.3,0.916,1.075
MATMUL,4096x4096x4096,555.4,506.4,596.4,0.912,1.074
LAYERNORM,1024x4096,49.5,11.0,47.9,0.222,0.969
LAYERNORM,1024x8192,73.1,18.7,93.9,0.256,1.284
LAYERNORM,1024x14336,204.7,30.4,162.8,0.148,0.795
LAYERNORM,2048x4096,92.9,18.7,93.9,0.201,1.011
LAYERNORM,4096x4096,178.9,34.2,185.8,0.191,1.039
SOFTMAX,1024x4096,30.6,11.0,32.2,0.358,1.052
SOFTMAX,1024x8192,54.4,18.7,62.4,0.344,1.147
SOFTMAX,1024x14336,108.6,30.4,107.7,0.28,0.992
SOFTMAX,2048x4096,56.9,18.7,62.4,0.329,1.096
SOFTMAX,4096x4096,109.2,34.2,122.8,0.313,1.124
SILU,1024x4096,14.6,11.0,15.1,0.753,1.036
SILU,1024x8192,26.2,18.7,28.3,0.714,1.078
SILU,1024x14336,43.5,30.4,47.9,0.698,1.102
SILU,2048x4096,26.2,18.7,28.3,0.715,1.078
SILU,4096x4096,49.5,34.2,54.5,0.692,1.101
